id;street;city;state;country;postal_code;geo_latitude;geo_longitude
1;Reilly Ridges;Valentinside;Versatile Lilangeni Frozen;Suriname;Home Loan Account;30332;82510
2;Simonis Springs;Port Adelbert;Handcrafted Concrete Chicken Architect South Dakota;Tanzania;Michigan Cambridgeshire Pants;24691;43742
3;Bartell Mission;Lake Easter;Savings Account;Virgin Islands, U.S.;purple Kids bypass;96591;70910
4;Little Estate;West Carmelofurt;generate Berkshire invoice;Malaysia;South Georgia and the South Sandwich Islands;56707;66700
5;Barney Harbor;Lake Tyreek;circuit hacking;Ecuador;Timor-Leste;77423;37247
6;Clifford Loop;Shyannfurt;Toys Home Quality-focused;Aruba;reboot National National;49655;16101
7;Lexie Pine;Reichelberg;transmit;Switzerland;Rustic Cotton Shoes systemic alarm;22479;69017
8;Camryn Lock;Nikolausbury;bus;Saint Helena;National;80156;84147
9;Marvin Rest;Wuckertfurt;Accounts Savings Account Gorgeous;New Zealand;Auto Loan Account Administrator Luxembourg;64264;10139
10;Ankunding Mountains;Wehnerborough;calculate Credit Card Account calculating;Christmas Island;payment multi-tasking Tasty;230;32439
