id;amount;created_at;updated_at;principal_amount;status;remarks;buyer_id;order_id
1;47912;2020-05-07T15:24:51;2020-05-07T22:27:26;92797;multimedia Jersey JSON;Western Sahara index Central;1;1
2;83453;2020-05-07T23:53:42;2020-05-07T18:54:51;72042;Place Plastic;array;2;2
3;40775;2020-05-08T03:37:21;2020-05-07T12:33:34;62111;Generic Rubber Car;programming;3;3
4;97529;2020-05-08T02:39:50;2020-05-08T00:52:10;29672;Borders;Home Loan Account Cotton Central;4;4
5;34797;2020-05-08T09:24:34;2020-05-07T15:32:02;59184;ubiquitous;Sleek networks;5;5
6;8796;2020-05-08T07:15:31;2020-05-08T07:48:26;21627;Locks;SQL Money Market Account;6;6
7;69971;2020-05-08T08:38:54;2020-05-07T10:42:05;47676;clicks-and-mortar Utah;Checking Account;7;7
8;82797;2020-05-07T18:35:47;2020-05-08T08:14:05;39072;leading-edge hacking withdrawal;models;8;8
9;30387;2020-05-08T07:36:00;2020-05-08T04:37:06;94278;Louisiana;Cambridgeshire;9;9
10;64350;2020-05-08T06:57:44;2020-05-08T04:07:52;24376;Rustic Granite Chicken 24/7 challenge;radical rich Rustic Frozen Chips;10;10
