id;percentage;hold_days;created_at;updated_at
1;63518;44221;2020-05-07T19:53:10;2020-05-08T01:48:54
2;50161;96249;2020-05-08T07:27:11;2020-05-07T21:35:18
3;86931;36377;2020-05-08T09:19:39;2020-05-07T19:49:23
4;52415;43282;2020-05-08T08:18:39;2020-05-07T17:42:59
5;77612;68161;2020-05-08T02:36:54;2020-05-07T23:28:03
6;5217;3395;2020-05-07T17:01:06;2020-05-08T08:56:04
7;8348;42152;2020-05-08T03:19:18;2020-05-07T13:55:54
8;91697;84405;2020-05-07T19:41:24;2020-05-07T17:30:36
9;68903;36499;2020-05-07T20:40:52;2020-05-07T12:19:19
10;67360;8841;2020-05-08T07:33:10;2020-05-07T22:44:16
