id;created_by;created_at;updated_at;name_id
1;21798;2020-05-08T06:23:31;2020-05-07T23:33:52;1
2;47527;2020-05-08T02:35:47;2020-05-07T14:51:07;2
3;24103;2020-05-07T11:01:48;2020-05-08T05:38:37;3
4;95574;2020-05-08T04:48:52;2020-05-07T15:58:21;4
5;82897;2020-05-08T08:00:02;2020-05-07T13:35:40;5
6;89081;2020-05-07T23:39:33;2020-05-07T13:22:28;6
7;3735;2020-05-08T00:05:29;2020-05-07T19:10:39;7
8;2720;2020-05-08T06:59:50;2020-05-07T12:21:24;8
9;91642;2020-05-07T14:08:28;2020-05-07T13:58:36;9
10;88360;2020-05-07T21:50:39;2020-05-08T00:52:38;10
