id;amount;created_at;updated_at;principal_amount;status;remarks;supplier_id;order_id
1;10398;2020-05-07T20:12:22;2020-05-08T04:50:31;25547;Borders withdrawal end-to-end;dynamic Credit Card Account Manager;1;1
2;72056;2020-05-07T17:54:08;2020-05-07T20:17:11;49762;Integration Refined Clothing;navigate Direct;2;2
3;75381;2020-05-07T11:52:51;2020-05-07T12:07:44;67572;Hat;Horizontal;3;3
4;309;2020-05-07T13:12:47;2020-05-08T03:42:58;53107;silver Hat;Orchestrator next-generation Creative;4;4
5;43804;2020-05-08T02:06:35;2020-05-07T19:09:56;54388;South Carolina;Handcrafted Concrete Fish West Virginia;5;5
6;57118;2020-05-07T10:58:00;2020-05-08T10:01:27;79157;withdrawal;Intelligent Soft Pizza;6;6
7;96002;2020-05-07T20:37:10;2020-05-08T03:04:17;51082;maroon;solid state CSS;7;7
8;35179;2020-05-07T11:11:49;2020-05-07T12:51:58;23744;user-centric;withdrawal encoding;8;8
9;44142;2020-05-07T11:18:47;2020-05-08T06:49:34;52074;back up envisioneer Triple-buffered;Jewelery non-volatile mint green;9;9
10;94765;2020-05-08T09:39:18;2020-05-08T07:21:00;60116;hard drive engineer bypassing;Beauty;10;10
