id;percentage;hold_days;created_at;updated_at
1;28943;59547;2020-05-08T07:16:14;2020-05-07T21:05:15
2;30685;85772;2020-05-08T08:59:29;2020-05-08T04:49:11
3;90854;14620;2020-05-07T20:50:16;2020-05-08T08:58:47
4;46193;26262;2020-05-07T16:07:04;2020-05-08T01:27:03
5;75690;90528;2020-05-07T22:17:39;2020-05-07T21:44:30
6;96702;33040;2020-05-08T06:48:20;2020-05-08T04:17:21
7;31302;71021;2020-05-08T06:49:36;2020-05-07T19:43:51
8;99456;51033;2020-05-08T02:52:56;2020-05-08T01:34:22
9;35359;68114;2020-05-07T21:07:15;2020-05-08T06:08:21
10;48228;81347;2020-05-07T10:28:51;2020-05-08T09:55:27
