id;version;edition;format;documents;delivery_date;remarks;created_at;updated_at;enquiry_id;print_id;finishing_id;handling_id;packaging_id;created_by_id
1;65860;88521;87194;Afghanistan;2020-05-08;sensor Executive;2020-05-07T13:31:55;2020-05-07T21:17:16;1;1;1;1;1;1
2;44703;45518;44642;Kids;2020-05-07;mesh help-desk info-mediaries;2020-05-07T18:10:55;2020-05-07T11:43:37;2;2;2;2;2;2
3;87937;70475;54507;Lari;2020-05-08;Home Loan Account;2020-05-08T02:47:55;2020-05-07T12:38:11;3;3;3;3;3;3
4;87819;80581;88022;GB calculating;2020-05-07;connecting;2020-05-07T17:54:10;2020-05-07T15:39:46;4;4;4;4;4;4
5;52643;89365;97118;Tuvalu;2020-05-07;Operations web services;2020-05-08T00:02:46;2020-05-07T15:43:29;5;5;5;5;5;5
6;54829;51322;76733;red Tactics;2020-05-07;XSS Cheese HTTP;2020-05-07T15:34:01;2020-05-08T07:27:41;6;6;6;6;6;6
7;88510;85516;46713;e-markets;2020-05-07;Associate;2020-05-08T01:29:14;2020-05-08T08:24:04;7;7;7;7;7;7
8;32894;2498;40315;vertical;2020-05-07;process improvement;2020-05-07T15:40:56;2020-05-07T11:11:55;8;8;8;8;8;8
9;57797;60496;11684;payment Solutions Gorgeous;2020-05-08;impactful system;2020-05-07T10:14:29;2020-05-08T07:19:05;9;9;9;9;9;9
10;49800;20190;70306;Lodge networks Awesome Metal Fish;2020-05-08;Fantastic;2020-05-07T19:24:43;2020-05-08T08:48:51;10;10;10;10;10;10
