id;name;dimension;material_id;color;comments;enquiry_details_id
1;collaborative Agent hack;Research;47804;green;Investment Account Cambridgeshire China;1
2;Bedfordshire;ivory models Balanced;94181;plum;withdrawal adapter;2
3;Digitized monetize;open-source Investment Account;6344;violet;Grass-roots full-range Licensed Steel Soap;3
4;Locks networks;purple;40003;pink;Avon;4
5;secondary Practical e-services;HDD Grocery Pizza;46910;yellow;Sharable;5
6;Samoa experiences;even-keeled;39135;white;Georgia withdrawal;6
7;Auto Loan Account;Expanded vortals;20299;maroon;Gardens;7
8;Meadow navigate;Cambridgeshire Berkshire connect;47718;azure;Dynamic Congo;8
9;Cambridgeshire Small Wooden Bike Holy See (Vatican City State);morph virtual Refined Steel Computer;44892;green;Street;9
10;Gorgeous Frozen Bike 4th generation Ireland;payment strategize Buckinghamshire;23352;green;Central solid state;10
