id;note;created_at;enquiry_details_id
1;Wooden Branding Intelligent;2020-05-07T17:26:50;1
2;recontextualize Producer;2020-05-08T06:18:57;2
3;card bandwidth EXE;2020-05-07T17:47:48;3
4;solid state Awesome Concrete Keyboard;2020-05-08T09:29:17;4
5;Cambridgeshire magenta JSON;2020-05-08T03:41:08;5
6;Coordinator;2020-05-08T06:46:36;6
7;Bedfordshire Dynamic Ergonomic;2020-05-07T15:43:55;7
8;Cambridgeshire;2020-05-07T17:23:46;8
9;Licensed Wooden Shirt;2020-05-08T04:01:23;9
10;e-commerce Plains quantifying;2020-05-08T01:19:22;10
