id;price;delivery_date;status;commission_date;created_at;updated_at;remarks;offer_id;buyer_id;supplier_id;enquiry_id;enquiry_details_id
1;48469;2020-05-08;input Legacy Rupiah;2020-05-07;2020-05-07T19:06:10;2020-05-07T17:51:30;Convertible Marks Danish Krone;1;1;1;1;1
2;55341;2020-05-08;connect Berkshire target;2020-05-07;2020-05-07T22:21:43;2020-05-07T11:13:24;virtual Salad;2;2;2;2;2
3;61371;2020-05-08;Outdoors Pike integrate;2020-05-08;2020-05-08T00:33:12;2020-05-07T19:53:40;feed Investment Account Slovenia;3;3;3;3;3
4;48005;2020-05-08;hack Cotton;2020-05-07;2020-05-07T11:21:51;2020-05-07T12:11:24;multi-tasking Small Soft Salad;4;4;4;4;4
5;12713;2020-05-08;olive web-enabled neutral;2020-05-07;2020-05-07T13:48:17;2020-05-08T08:00:11;Grove Bedfordshire;5;5;5;5;5
6;18802;2020-05-07;Corners;2020-05-08;2020-05-07T12:38:32;2020-05-08T01:30:01;Brand;6;6;6;6;6
7;45796;2020-05-07;solid state protocol;2020-05-07;2020-05-07T14:31:44;2020-05-07T12:28:17;Cambridgeshire;7;7;7;7;7
8;46979;2020-05-08;Shoes Personal Loan Account;2020-05-07;2020-05-07T15:27:03;2020-05-07T18:00:42;Algeria Pizza Grocery;8;8;8;8;8
9;56299;2020-05-07;Web virtual;2020-05-08;2020-05-08T06:48:35;2020-05-07T23:04:45;payment;9;9;9;9;9
10;49154;2020-05-07;invoice Internal Rustic;2020-05-08;2020-05-07T23:22:56;2020-05-08T08:53:15;object-oriented Director ADP;10;10;10;10;10
