id;valid_upto;status;created_at;updated_at;supplier_enquiry_id;created_by_id;updated_by_id
1;2020-05-07;back-end;2020-05-07T15:17:03;2020-05-08T04:13:52;1;1;1
2;2020-05-07;Direct;2020-05-08T07:40:11;2020-05-08T00:39:44;2;2;2
3;2020-05-07;moderator leading-edge;2020-05-07T13:46:48;2020-05-07T10:45:10;3;3;3
4;2020-05-07;invoice;2020-05-08T04:52:47;2020-05-08T04:16:46;4;4;4
5;2020-05-07;deposit;2020-05-08T08:01:14;2020-05-08T05:20:19;5;5;5
6;2020-05-07;copy Principal;2020-05-08T01:40:26;2020-05-08T02:35:17;6;6;6
7;2020-05-07;mint green digital THX;2020-05-07T14:28:59;2020-05-08T01:06:59;7;7;7
8;2020-05-07;24/7 digital;2020-05-08T06:39:22;2020-05-08T05:38:20;8;8;8
9;2020-05-07;Incredible;2020-05-08T09:57:41;2020-05-07T16:28:24;9;9;9
10;2020-05-08;Freeway;2020-05-08T10:12:16;2020-05-07T15:14:29;10;10;10
