id;price;created_at;finishing_date;offer_id;enquiry_id;enquiry_details_id
1;13200;2020-05-08T07:56:27;2020-05-08;1;1;1
2;90512;2020-05-07T23:02:59;2020-05-08;2;2;2
3;14716;2020-05-07T10:52:37;2020-05-07;3;3;3
4;1610;2020-05-07T10:29:53;2020-05-07;4;4;4
5;85814;2020-05-08T07:44:17;2020-05-08;5;5;5
6;42378;2020-05-08T05:06:32;2020-05-07;6;6;6
7;16970;2020-05-07T22:20:59;2020-05-08;7;7;7
8;99791;2020-05-07T23:22:56;2020-05-08;8;8;8
9;45397;2020-05-08T08:38:54;2020-05-07;9;9;9
10;92472;2020-05-07T18:39:16;2020-05-07;10;10;10
