id;validity;price;created_by;created_at;updated_at;name_id;description_id
1;Internal;5975;12376;2020-05-07T16:17:22;2020-05-08T05:10:30;1;1
2;Buckinghamshire productize;7204;66152;2020-05-07T17:49:59;2020-05-08T07:18:05;2;2
3;Integrated convergence;20461;53952;2020-05-07T13:34:32;2020-05-07T11:21:00;3;3
4;Credit Card Account;98226;97335;2020-05-07T16:02:12;2020-05-07T17:11:24;4;4
5;invoice;62694;43424;2020-05-07T12:05:11;2020-05-08T01:47:21;5;5
6;Computers Integration;7257;73051;2020-05-07T13:31:26;2020-05-08T00:36:23;6;6
7;optimize Producer;47062;42468;2020-05-08T08:06:52;2020-05-07T22:18:37;7;7
8;Indiana;42257;64411;2020-05-08T02:12:11;2020-05-08T02:59:58;8;8
9;Steel;41651;93448;2020-05-08T00:49:00;2020-05-07T21:50:57;9;9
10;Personal Loan Account;55448;90836;2020-05-08T07:05:07;2020-05-07T23:01:46;10;10
