id;created_at;updated_at;enquiry_id;supplier_id;created_by_id
1;2020-05-07T13:26:54;2020-05-08T01:23:07;1;1;1
2;2020-05-07T13:54:02;2020-05-07T12:02:24;2;2;2
3;2020-05-08T03:05:24;2020-05-08T02:39:39;3;3;3
4;2020-05-08T06:39:56;2020-05-08T07:26:45;4;4;4
5;2020-05-07T20:32:33;2020-05-08T06:22:50;5;5;5
6;2020-05-08T06:00:15;2020-05-07T11:17:06;6;6;6
7;2020-05-07T16:32:05;2020-05-07T15:59:50;7;7;7
8;2020-05-08T02:27:35;2020-05-07T13:37:49;8;8;8
9;2020-05-08T04:47:48;2020-05-07T10:46:04;9;9;9
10;2020-05-08T01:03:54;2020-05-08T04:46:48;10;10;10
