id;price;valid_upto;payment_gateway_token;next_renewal;created_at;updated_at;subscription_plan_id;user_profile_id
1;36713;2020-05-07;Georgia Gorgeous Frozen Bike;2020-05-07;2020-05-08T05:22:50;2020-05-07T20:56:27;1;1
2;73042;2020-05-08;transmitter disintermediate;2020-05-07;2020-05-07T17:03:00;2020-05-08T02:28:45;2;2
3;65645;2020-05-07;experiences Soft Borders;2020-05-07;2020-05-07T23:30:13;2020-05-07T17:28:52;3;3
4;89164;2020-05-07;asymmetric toolset;2020-05-07;2020-05-07T22:48:04;2020-05-07T23:42:59;4;4
5;15577;2020-05-07;niches;2020-05-07;2020-05-08T05:28:23;2020-05-08T08:31:52;5;5
6;1741;2020-05-07;mission-critical;2020-05-07;2020-05-08T02:45:50;2020-05-08T07:14:51;6;6
7;24835;2020-05-08;deposit Pizza Human;2020-05-07;2020-05-08T08:52:52;2020-05-07T23:16:09;7;7
8;6148;2020-05-08;Tugrik;2020-05-08;2020-05-08T09:51:46;2020-05-07T12:05:23;8;8
9;30707;2020-05-08;Accountability;2020-05-08;2020-05-07T16:40:08;2020-05-08T09:04:20;9;9
10;62554;2020-05-07;Designer;2020-05-08;2020-05-08T03:13:59;2020-05-08T06:57:33;10;10
